SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,GenderMale,InternetService_FiberOptic,InternetService_No,Contract_OneYear,Contract_TwoYear,PaymentMethod_CreditCardAutomatic,PaymentMethod_ElectronicCheck,PaymentMethod_MailedCheck,Churn
1,1,1,34,1,1,0,1,1,1,1,1,1,108.9,3625.2,1,1,0,0,0,0,1,0,0
0,1,0,28,1,0,0,0,0,0,0,0,0,20.5,563.05,0,0,1,0,0,0,0,1,0
0,1,1,25,1,0,0,0,0,0,0,0,0,19.6,411.15,1,0,1,1,0,0,1,0,0
0,1,0,2,1,0,0,1,0,1,0,1,1,64.2,143.65,1,0,0,0,0,0,0,1,0
0,1,1,7,1,0,0,0,0,0,0,0,0,44.75,333.65,1,0,0,0,0,0,1,0,0
0,1,0,2,1,0,0,0,0,0,0,0,1,45.0,89.75,0,0,0,0,0,0,1,0,0
0,0,0,70,1,1,1,1,1,1,1,1,0,89.75,6367.2,0,0,0,0,1,1,0,0,0
0,1,1,54,1,1,0,1,1,1,1,1,1,86.2,4524.05,0,0,0,0,0,0,1,0,0
0,0,0,24,1,1,0,0,0,0,0,0,0,25.15,553.0,0,0,1,0,1,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,20.75,44.2,1,0,1,0,0,0,0,1,0
0,0,0,12,0,0,1,0,0,1,0,0,1,33.6,435.45,0,0,0,1,0,0,0,1,0
1,0,0,29,1,0,0,1,1,0,1,1,1,101.45,2948.6,1,1,0,0,0,0,0,0,0
1,0,0,2,1,0,0,0,0,0,0,0,0,19.2,37.2,1,0,1,0,0,0,1,0,0
1,1,0,68,1,0,0,1,1,1,0,0,1,60.65,3975.9,0,0,0,1,0,0,0,0,0
1,1,0,52,1,1,0,1,1,0,1,1,1,106.5,5621.85,0,1,0,1,0,0,1,0,0
1,0,0,57,1,1,0,1,0,1,1,1,1,104.9,5913.95,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,20.45,20.45,1,0,1,0,0,0,0,1,0
0,1,1,66,1,0,1,1,0,1,0,0,1,58.2,3810.8,0,0,0,0,1,1,0,0,0
0,0,0,7,0,0,0,0,0,0,0,0,0,25.05,189.95,0,0,0,0,0,0,0,0,0
0,0,0,18,0,0,1,0,1,0,0,0,0,33.6,550.35,1,0,0,0,0,0,0,1,0
1,1,1,72,1,1,1,1,1,1,1,1,1,115.75,8399.15,1,1,0,0,1,1,0,0,0
0,1,1,27,1,1,0,0,0,1,1,1,0,71.6,1957.1,1,0,0,0,0,0,0,0,0
0,1,0,72,1,1,0,0,0,0,0,0,0,24.65,1830.05,0,0,1,0,1,0,0,0,0
0,1,0,56,1,0,1,1,1,0,1,1,1,105.6,6068.65,0,1,0,1,0,1,0,0,0
0,1,1,58,1,0,0,0,0,0,0,0,0,19.55,1079.65,0,0,1,0,1,1,0,0,0
0,1,0,70,1,1,1,1,1,1,1,0,0,79.15,5536.5,1,0,0,0,1,0,0,1,0
0,0,0,1,1,0,1,0,0,0,0,0,0,49.75,49.75,1,0,0,0,0,0,1,0,0
0,0,0,63,1,1,0,0,0,0,0,0,0,24.2,1618.2,0,0,1,0,1,0,0,1,0
0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,1,0,0,0,0,1,0,0
